"","pop","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","3",127131,181181,176176,126128,140140,129131,123129,242242,282282,231231,148150
"2","3",127127,179179,176176,124124,134134,129131,131131,242242,282282,231231,148148
"3","3",127127,179179,176176,126126,134154,121131,123131,242244,282282,231231,148150
"4","3",121121,181181,176176,124128,140140,127127,123131,242242,282282,225231,148148
"5","3",121125,179181,176176,124126,134154,131131,123131,242242,282282,231231,148150
"6","3",121127,179181,176176,124126,134134,131131,123125,242242,282282,225231,148148
"7","3",121127,181181,176176,126126,140154,131131,123129,242242,282282,231231,148148
"8","3",127127,179181,176176,128128,134134,131131,129129,242242,282282,225231,148148
"9","3",127131,179179,176176,126126,140154,131131,129129,242242,282282,225231,148148
"10","3",127127,179179,176176,124124,134154,129131,129129,242244,282282,225231,148148
"11","3",127131,179181,176176,124126,134140,131131,129129,242244,282282,225231,148150
"12","3",127131,179181,176176,124124,134134,129131,129129,242244,282282,225231,148148
"13","3",127131,179181,176176,122124,134140,129131,123129,242242,282282,231231,148148
"14","3",127127,179179,176176,124126,134140,129131,129129,242242,282282,231231,148148
"15","3",121121,179181,176176,122122,134140,NA,123131,242244,282282,225225,148150
"16","3",121127,181181,176176,126126,144150,129131,123129,242242,282282,227231,148148
"17","3",127127,179181,174178,126126,140140,131131,123131,242242,282288,235235,148150
"18","3",129129,179179,176176,126126,140152,131131,129131,242244,282282,235235,150150
"19","3",129129,179179,176176,124126,140154,131131,129131,242244,282282,235235,148150
"20","3",127127,183183,176176,124126,142154,131131,123131,242244,282282,235235,148148
"21","3",127127,181181,176176,124126,134134,131131,123131,242242,282282,229229,148148
"22","3",129129,179179,176176,126126,134134,131131,129131,242244,282282,NA,148148
"23","3",127127,179181,176176,124126,NA,131131,123131,242244,282282,235235,148148
"24","3",127131,179181,174176,126126,140140,131131,131131,242244,282282,229235,148148
"25","3",129129,181181,176176,124126,NA,131131,123131,242244,282282,229229,148148
"26","3",129129,179179,176176,124128,134134,121131,129131,242244,282282,235235,148148
"27","3",127131,179181,176176,126128,134152,121131,123131,242244,282282,235235,148150
"28","3",131131,177177,176176,126126,134140,131131,131131,244244,282282,235235,148150
"29","3",127131,179179,176176,124124,134154,131131,123123,242242,282282,225235,148150
"30","3",127131,179181,176176,126128,134140,131131,131131,242242,282282,229235,148150
"31","3",127131,181181,176176,124128,134134,121129,131131,242242,282282,235235,148150
"32","2",127131,179181,176176,126126,134154,125131,123123,242242,282282,225235,150150
"33","2",131131,179179,176176,124126,134140,121131,123123,242242,282282,229235,148148
"34","3",127127,179179,176176,124124,134154,125131,123125,242242,282282,225229,148148
"35","3",NA,179179,176176,124124,140154,131131,123129,NA,282282,225229,148150
"36","3",NA,179179,176176,124128,NA,131131,129131,242242,NA,NA,150150
"37","2",131131,179179,176176,126126,134140,121131,NA,242242,NA,229235,148148
"38","3",127131,179181,176176,124124,154154,131131,131131,242244,282282,235235,148150
"39","3",131131,179179,176176,124126,134134,131131,131131,242244,282282,235235,148150
"40","3",127131,179181,176176,124128,134154,131131,125131,242242,NA,229235,148150
"41","3",127131,179181,176176,124124,134140,121131,123123,242242,282282,229235,148150
"42","3",127131,179181,176176,NA,140140,121131,125131,242242,282282,235235,NA
"43","3",127131,179181,176176,124128,140140,125131,131131,242242,282282,235235,148150
"44","3",127127,181181,NA,124124,134140,131131,123123,242242,282282,NA,148148
"45","3",127127,179181,176176,124128,134140,NA,123131,NA,NA,231235,148150
"46","3",127127,179181,176176,124128,134140,131131,131131,242242,282282,235235,148148
"47","3",127127,179181,176176,124126,134136,131131,131131,242244,282282,229235,148150
"48","3",127127,181181,176176,126126,134134,131131,123131,NA,282282,229235,148148
"49","3",127127,179181,176176,124128,134140,125131,131131,242242,282282,235235,148148
"50","3",127131,179181,176176,124128,134140,121121,125131,242242,282282,235235,148148
"51","3",127127,181181,176176,124126,134134,121131,123131,242242,282282,229235,148150
"52","3",127127,179181,176176,124126,134134,133133,123131,242242,282282,235235,148150
"53","3",127131,181181,176176,124124,134140,NA,123131,242242,NA,235235,148148
"54","2",131131,179179,176176,126128,134134,131131,123131,242242,288288,235235,148148
"55","3",127127,179181,176176,124124,134140,131131,131131,242242,282282,235235,148148
"56","3",127131,179181,176176,124128,134154,131131,131131,242242,282282,229235,148148
"57","3",127131,179181,176176,126128,134140,131131,131131,242244,282282,235235,148148
"58","3",127127,181181,176176,128128,134140,131131,131131,242242,282282,231235,148148
"59","3",127131,181181,176176,126126,134140,131131,131131,242244,NA,229235,148148
"60","3",127127,181181,176176,124128,134144,131131,131131,NA,NA,229235,148148
"61","3",131131,179179,176176,124126,134140,131131,123131,NA,282282,235235,148148
"62","3",127127,179181,176176,126130,134140,131131,123123,242242,282282,235235,148150
"63","3",127131,179181,176176,124128,134134,131131,125131,242242,282282,225235,148150
"64","3",127131,179181,176176,124126,140154,131131,131131,242244,282282,235235,150150
"65","3",127127,179179,176176,124126,134134,131131,123131,242244,282282,229235,148150
"66","3",131131,179179,176176,128130,134134,121131,123131,242242,282282,229229,148150
"67","3",127131,179179,176176,124124,134154,131131,123123,242242,282282,225235,148150
"68","3",127127,181181,176176,124128,134140,131131,131131,242244,282282,229235,148148
"69","2",131131,179181,172178,126126,134134,131131,123123,242244,282288,231231,148150
"70","3",127131,179181,176176,124126,134134,121131,123131,242244,282282,229235,148150
"71","3",127127,179181,176176,124128,134140,131131,123131,242244,282282,225229,148148
"72","2",127131,179181,176176,124126,NA,121121,123131,NA,NA,229235,148150
"73","2",121127,179181,178178,126126,134134,121121,123129,242242,282282,231233,148150
"74","2",121127,179179,178178,126126,134134,NA,123129,242244,282282,227231,148150
"75","2",125125,179179,176178,126126,134154,131131,123123,242244,282288,221231,148148
"76","2",121121,179179,178178,126132,134134,121131,123129,242244,282282,231233,150150
"77","2",NA,179179,178178,126126,134134,129131,123129,242242,282288,221231,148150
"78","2",121127,179179,178178,126126,134136,131131,129129,242242,282288,227231,148150
"79","2",121127,179179,178180,126126,134134,131131,123123,242244,282288,229231,150150
"80","2",127127,179181,178178,126132,134134,121129,123129,244244,282282,229233,150150
"81","2",121121,179179,178178,126126,134134,121131,129129,242242,282288,227229,150150
"82","2",127127,179181,178180,126132,134136,129131,123129,244244,282282,227227,150150
"83","2",127127,179179,178180,126130,134134,121131,123123,242244,282288,231235,148150
"84","2",NA,179181,178178,126126,134134,121129,123123,242242,282288,231233,150150
"85","2",121127,179179,178178,126126,134134,129131,123129,244244,282282,227231,148148
"86","2",121125,179179,178178,122130,134134,131131,NA,NA,NA,NA,NA
"87","2",121127,179179,176176,126126,NA,131131,NA,242244,NA,NA,NA
"88","2",121127,179179,178178,130130,134134,121131,NA,NA,NA,NA,NA
"89","1",121127,179179,172178,130132,NA,129131,NA,242242,NA,NA,NA
"90","3",121127,179179,172172,124130,134134,131131,NA,NA,NA,NA,NA
"91","3",127127,179179,176176,126128,134136,131131,NA,NA,NA,NA,NA
"92","3",125131,181181,176178,126132,134134,125125,123131,242242,282282,NA,150150
"93","2",129129,179179,176178,126126,134134,121131,123131,242242,282288,NA,148150
"94","2",NA,179179,178178,126126,134134,NA,123131,242242,282288,235235,148150
"95","2",121127,179179,178178,126126,134154,131131,123131,242244,282288,235235,148148
"96","2",121121,179179,174178,126126,NA,131131,123131,242242,282282,235235,148150
"97","3",127127,179179,176176,126126,134154,131131,123131,242244,282282,235235,150150
"98","1",127127,179181,176178,126132,NA,125125,123131,242244,282282,235235,148150
"99","2",131131,179179,178178,126126,134134,NA,123131,242244,282282,235235,148148
"100","2",121121,179179,178178,126130,134134,125131,123131,242244,282288,235235,148150
"101","2",131131,179179,178178,126126,134134,NA,123131,242244,282288,235235,148148
"102","2",121127,179179,178178,126126,134154,131131,123131,242242,282282,225235,150150
"103","3",121127,179181,180180,126126,134154,129131,123131,242242,282282,229235,150150
"104","3",127127,179179,174176,126130,134134,131131,123131,242242,NA,NA,NA
"105","3",127127,179179,178178,NA,134134,NA,131131,242242,NA,NA,NA
"106","3",121127,179187,176178,124124,134134,125131,131131,242242,NA,NA,NA
"107","3",121127,181181,NA,124124,134134,121131,123131,242242,NA,NA,NA
"108","2",127127,179179,172176,126130,134140,121131,123129,NA,282282,235235,150150
"109","2",131131,179179,172176,126126,134146,121131,123131,238242,282282,231235,148148
"110","2",127127,179179,176178,124126,146146,NA,123123,242244,282282,NA,148150
"111","2",127131,179179,176178,124126,140154,121131,123131,242242,282282,231235,150150
